datasetid,siteid,sitename,collectionunitid,collectionunit,handle,datasettype,sampleid,samplename,depth,altitude,geography,waterdepth_site,pH,pH_units,water_table_depth,water_table_depth_units
26022,16586,Trout Peatland A,18922,TL17,TL17,testate amoebae surface sample,266626,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.59424,46.00299],[-89.593,46.00299],[-89.593,46.00416],[-89.59424,46.00416],[-89.59424,46.00299]]]}",,3.81,,11.16666667,cm
26025,16586,Trout Peatland A,18925,TL21,TL21,testate amoebae surface sample,266629,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.59424,46.00299],[-89.593,46.00299],[-89.593,46.00416],[-89.59424,46.00416],[-89.59424,46.00299]]]}",,3.58,,30.83333333,cm
26023,16586,Trout Peatland A,18923,TL18,TL18,testate amoebae surface sample,266627,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.59424,46.00299],[-89.593,46.00299],[-89.593,46.00416],[-89.59424,46.00416],[-89.59424,46.00299]]]}",,3.78,,21.16666667,cm
26024,16586,Trout Peatland A,18924,TL19,TL19,testate amoebae surface sample,266628,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.59424,46.00299],[-89.593,46.00299],[-89.593,46.00416],[-89.59424,46.00416],[-89.59424,46.00299]]]}",,4.43,,6.0,cm
26026,16586,Trout Peatland A,18926,TL22,TL22,testate amoebae surface sample,266630,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.59424,46.00299],[-89.593,46.00299],[-89.593,46.00416],[-89.59424,46.00416],[-89.59424,46.00299]]]}",,4.26,,6.166666667,cm
26029,16586,Trout Peatland A,18929,TL25,TL25,testate amoebae surface sample,266633,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.59424,46.00299],[-89.593,46.00299],[-89.593,46.00416],[-89.59424,46.00416],[-89.59424,46.00299]]]}",,3.54,,38.33333333,cm
26027,16586,Trout Peatland A,18927,TL23,TL23,testate amoebae surface sample,266631,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.59424,46.00299],[-89.593,46.00299],[-89.593,46.00416],[-89.59424,46.00416],[-89.59424,46.00299]]]}",,3.6,,23.5,cm
26028,16586,Trout Peatland A,18928,TL24,TL24,testate amoebae surface sample,266632,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.59424,46.00299],[-89.593,46.00299],[-89.593,46.00416],[-89.59424,46.00416],[-89.59424,46.00299]]]}",,4.32,,4.166666667,cm
26030,16586,Trout Peatland A,18930,TL26,TL26,testate amoebae surface sample,266634,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.59424,46.00299],[-89.593,46.00299],[-89.593,46.00416],[-89.59424,46.00416],[-89.59424,46.00299]]]}",,3.57,,17.0,cm
26031,16586,Trout Peatland A,18931,TL87,TL87,testate amoebae surface sample,266635,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.59424,46.00299],[-89.593,46.00299],[-89.593,46.00416],[-89.59424,46.00416],[-89.59424,46.00299]]]}",,3.53,,48.66666667,cm
26032,16587,Trout Peatland B,18932,TL88,TL88,testate amoebae surface sample,266636,,,505,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.58959,46.01915],[-89.58826,46.01915],[-89.58826,46.01963],[-89.58959,46.01963],[-89.58959,46.01915]]]}",,3.58,,18.5,cm
26033,16587,Trout Peatland B,18933,TL89,TL89,testate amoebae surface sample,266637,,,505,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.58959,46.01915],[-89.58826,46.01915],[-89.58826,46.01963],[-89.58959,46.01963],[-89.58959,46.01915]]]}",,3.44,,39.16666667,cm
26036,16587,Trout Peatland B,18936,TL92,TL92,testate amoebae surface sample,266640,,,505,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.58959,46.01915],[-89.58826,46.01915],[-89.58826,46.01963],[-89.58959,46.01963],[-89.58959,46.01915]]]}",,3.5,,41.5,cm
26034,16587,Trout Peatland B,18934,TL90,TL90,testate amoebae surface sample,266638,,,505,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.58959,46.01915],[-89.58826,46.01915],[-89.58826,46.01963],[-89.58959,46.01963],[-89.58959,46.01915]]]}",,3.56,,14.5,cm
26035,16587,Trout Peatland B,18935,TL91,TL91,testate amoebae surface sample,266639,,,505,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.58959,46.01915],[-89.58826,46.01915],[-89.58826,46.01963],[-89.58959,46.01963],[-89.58959,46.01915]]]}",,3.57,,57.5,cm
26037,16587,Trout Peatland B,18937,TL93,TL93,testate amoebae surface sample,266641,,,505,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.58959,46.01915],[-89.58826,46.01915],[-89.58826,46.01963],[-89.58959,46.01963],[-89.58959,46.01915]]]}",,3.46,,44.5,cm
26038,16587,Trout Peatland B,18938,TL94,TL94,testate amoebae surface sample,266642,,,505,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.58959,46.01915],[-89.58826,46.01915],[-89.58826,46.01963],[-89.58959,46.01963],[-89.58959,46.01915]]]}",,4.07,,-1.833333333,cm
26039,16587,Trout Peatland B,18939,TL95,TL95,testate amoebae surface sample,266643,,,505,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.58959,46.01915],[-89.58826,46.01915],[-89.58826,46.01963],[-89.58959,46.01963],[-89.58959,46.01915]]]}",,3.49,,22.66666667,cm
26041,16587,Trout Peatland B,18941,TL97,TL97,testate amoebae surface sample,266645,,,505,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.58959,46.01915],[-89.58826,46.01915],[-89.58826,46.01963],[-89.58959,46.01963],[-89.58959,46.01915]]]}",,3.74,,16.83333333,cm
26040,16587,Trout Peatland B,18940,TL96,TL96,testate amoebae surface sample,266644,,,505,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.58959,46.01915],[-89.58826,46.01915],[-89.58826,46.01963],[-89.58959,46.01963],[-89.58959,46.01915]]]}",,3.59,,5.666666667,cm
26042,16588,Crystal Peatland (Trout C),18942,TL01,TL01,testate amoebae surface sample,266646,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.60611,46.00706],[-89.60381,46.00706],[-89.60381,46.00817],[-89.60611,46.00817],[-89.60611,46.00706]]]}",,3.57,,11.33333333,cm
26043,16588,Crystal Peatland (Trout C),18943,TL02,TL02,testate amoebae surface sample,266647,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.60611,46.00706],[-89.60381,46.00706],[-89.60381,46.00817],[-89.60611,46.00817],[-89.60611,46.00706]]]}",,3.67,,12.83333333,cm
26044,16588,Crystal Peatland (Trout C),18944,TL03,TL03,testate amoebae surface sample,266648,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.60611,46.00706],[-89.60381,46.00706],[-89.60381,46.00817],[-89.60611,46.00817],[-89.60611,46.00706]]]}",,3.65,,36.5,cm
26045,16588,Crystal Peatland (Trout C),18945,TL04,TL04,testate amoebae surface sample,266649,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.60611,46.00706],[-89.60381,46.00706],[-89.60381,46.00817],[-89.60611,46.00817],[-89.60611,46.00706]]]}",,3.45,,13.16666667,cm
26046,16588,Crystal Peatland (Trout C),18946,TL05,TL05,testate amoebae surface sample,266650,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.60611,46.00706],[-89.60381,46.00706],[-89.60381,46.00817],[-89.60611,46.00817],[-89.60611,46.00706]]]}",,3.54,,55.16666667,cm
26048,16588,Crystal Peatland (Trout C),18948,TL07,TL07,testate amoebae surface sample,266652,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.60611,46.00706],[-89.60381,46.00706],[-89.60381,46.00817],[-89.60611,46.00817],[-89.60611,46.00706]]]}",,3.49,,44.5,cm
26047,16588,Crystal Peatland (Trout C),18947,TL06,TL06,testate amoebae surface sample,266651,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.60611,46.00706],[-89.60381,46.00706],[-89.60381,46.00817],[-89.60611,46.00817],[-89.60611,46.00706]]]}",,3.59,,19.0,cm
26050,16588,Crystal Peatland (Trout C),18950,TL09,TL09,testate amoebae surface sample,266654,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.60611,46.00706],[-89.60381,46.00706],[-89.60381,46.00817],[-89.60611,46.00817],[-89.60611,46.00706]]]}",,3.51,,28.16666667,cm
26049,16588,Crystal Peatland (Trout C),18949,TL08,TL08,testate amoebae surface sample,266653,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.60611,46.00706],[-89.60381,46.00706],[-89.60381,46.00817],[-89.60611,46.00817],[-89.60611,46.00706]]]}",,3.66,,6.833333333,cm
26051,16588,Crystal Peatland (Trout C),18951,TL10,TL10,testate amoebae surface sample,266655,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.60611,46.00706],[-89.60381,46.00706],[-89.60381,46.00817],[-89.60611,46.00817],[-89.60611,46.00706]]]}",,3.49,,56.5,cm
26055,16589,Fallison Bog (Trout D),18955,TL37,TL37,testate amoebae surface sample,266659,,,502,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.61499,45.99452],[-89.61134,45.99452],[-89.61134,45.99699],[-89.61499,45.99699],[-89.61499,45.99452]]]}",,4.01,,19.16666667,cm
26053,16588,Crystal Peatland (Trout C),18953,TL12,TL12,testate amoebae surface sample,266657,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.60611,46.00706],[-89.60381,46.00706],[-89.60381,46.00817],[-89.60611,46.00817],[-89.60611,46.00706]]]}",,3.58,,24.5,cm
26054,16588,Crystal Peatland (Trout C),18954,TL13,TL13,testate amoebae surface sample,266658,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.60611,46.00706],[-89.60381,46.00706],[-89.60381,46.00817],[-89.60611,46.00817],[-89.60611,46.00706]]]}",,3.53,,43.83333333,cm
26056,16589,Fallison Bog (Trout D),18956,TL38,TL38,testate amoebae surface sample,266660,,,502,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.61499,45.99452],[-89.61134,45.99452],[-89.61134,45.99699],[-89.61499,45.99699],[-89.61499,45.99452]]]}",,3.88,,22.5,cm
26057,16589,Fallison Bog (Trout D),18957,TL39,TL39,testate amoebae surface sample,266661,,,502,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.61499,45.99452],[-89.61134,45.99452],[-89.61134,45.99699],[-89.61499,45.99699],[-89.61499,45.99452]]]}",,3.69,,29.83333333,cm
26058,16589,Fallison Bog (Trout D),18958,TL40,TL40,testate amoebae surface sample,266662,,,502,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.61499,45.99452],[-89.61134,45.99452],[-89.61134,45.99699],[-89.61499,45.99699],[-89.61499,45.99452]]]}",,3.7,,6.0,cm
26052,16588,Crystal Peatland (Trout C),18952,TL11,TL11,testate amoebae surface sample,266656,,,501,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.60611,46.00706],[-89.60381,46.00706],[-89.60381,46.00817],[-89.60611,46.00817],[-89.60611,46.00706]]]}",,3.5,,10.16666667,cm
26059,16589,Fallison Bog (Trout D),18959,TL41,TL41,testate amoebae surface sample,266663,,,502,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.61499,45.99452],[-89.61134,45.99452],[-89.61134,45.99699],[-89.61499,45.99699],[-89.61499,45.99452]]]}",,3.53,,28.5,cm
26061,16589,Fallison Bog (Trout D),18961,TL43,TL43,testate amoebae surface sample,266665,,,502,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.61499,45.99452],[-89.61134,45.99452],[-89.61134,45.99699],[-89.61499,45.99699],[-89.61499,45.99452]]]}",,3.54,,44.0,cm
26062,16589,Fallison Bog (Trout D),18962,TL44,TL44,testate amoebae surface sample,266666,,,502,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.61499,45.99452],[-89.61134,45.99452],[-89.61134,45.99699],[-89.61499,45.99699],[-89.61499,45.99452]]]}",,3.58,,25.0,cm
26060,16589,Fallison Bog (Trout D),18960,TL42,TL42,testate amoebae surface sample,266664,,,502,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.61499,45.99452],[-89.61134,45.99452],[-89.61134,45.99699],[-89.61499,45.99699],[-89.61499,45.99452]]]}",,3.64,,14.33333333,cm
26064,16589,Fallison Bog (Trout D),18964,TL46,TL46,testate amoebae surface sample,266668,,,502,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.61499,45.99452],[-89.61134,45.99452],[-89.61134,45.99699],[-89.61499,45.99699],[-89.61499,45.99452]]]}",,4.1,,2.5,cm
26063,16589,Fallison Bog (Trout D),18963,TL45,TL45,testate amoebae surface sample,266667,,,502,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.61499,45.99452],[-89.61134,45.99452],[-89.61134,45.99699],[-89.61499,45.99699],[-89.61499,45.99452]]]}",,3.52,,25.16666667,cm
26066,16589,Fallison Bog (Trout D),18966,TL48,TL48,testate amoebae surface sample,266670,,,502,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.61499,45.99452],[-89.61134,45.99452],[-89.61134,45.99699],[-89.61499,45.99699],[-89.61499,45.99452]]]}",,3.47,,7.666666667,cm
26065,16589,Fallison Bog (Trout D),18965,TL47,TL47,testate amoebae surface sample,266669,,,502,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.61499,45.99452],[-89.61134,45.99452],[-89.61134,45.99699],[-89.61499,45.99699],[-89.61499,45.99452]]]}",,3.5,,9.0,cm
26067,16589,Fallison Bog (Trout D),18967,TL49,TL49,testate amoebae surface sample,266671,,,502,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.61499,45.99452],[-89.61134,45.99452],[-89.61134,45.99699],[-89.61499,45.99699],[-89.61499,45.99452]]]}",,3.82,,27.33333333,cm
26069,16589,Fallison Bog (Trout D),18969,TL51,TL51,testate amoebae surface sample,266673,,,502,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.61499,45.99452],[-89.61134,45.99452],[-89.61134,45.99699],[-89.61499,45.99699],[-89.61499,45.99452]]]}",,3.57,,33.66666667,cm
26068,16589,Fallison Bog (Trout D),18968,TL50,TL50,testate amoebae surface sample,266672,,,502,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-89.61499,45.99452],[-89.61134,45.99452],[-89.61134,45.99699],[-89.61499,45.99699],[-89.61499,45.99452]]]}",,3.53,,8.833333333,cm
26072,16591,Wally Creek,18971,813,WC813,testate amoebae surface sample,266681,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.69,,23.0,cm
26073,16591,Wally Creek,18972,815,WC815,testate amoebae surface sample,266682,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.47,,22.0,cm
26075,16591,Wally Creek,18974,818,WC818,testate amoebae surface sample,266684,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.48,,25.0,cm
26077,16591,Wally Creek,18976,821,WC821,testate amoebae surface sample,266686,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.38,,25.0,cm
26078,16591,Wally Creek,18977,823,WC823,testate amoebae surface sample,266687,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.57,,31.0,cm
26076,16591,Wally Creek,18975,819,WC819,testate amoebae surface sample,266685,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.72,,17.0,cm
26074,16591,Wally Creek,18973,816,WC816,testate amoebae surface sample,266683,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.0,,34.0,cm
26079,16591,Wally Creek,18978,825,WC825,testate amoebae surface sample,266688,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.55,,41.0,cm
26081,16591,Wally Creek,18980,832,WC832,testate amoebae surface sample,266690,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.23,,26.0,cm
26084,16591,Wally Creek,18983,845,WC845,testate amoebae surface sample,266693,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.38,,41.0,cm
26080,16591,Wally Creek,18979,827,WC827,testate amoebae surface sample,266689,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.14,,41.0,cm
26082,16591,Wally Creek,18981,833,WC833,testate amoebae surface sample,266691,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.67,,37.0,cm
26085,16591,Wally Creek,18984,848,WC848,testate amoebae surface sample,266694,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.7,,31.0,cm
26086,16591,Wally Creek,18985,849,WC849,testate amoebae surface sample,266695,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.35,,37.0,cm
26083,16591,Wally Creek,18982,839,WC839,testate amoebae surface sample,266692,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,3.86,,41.0,cm
26087,16591,Wally Creek,18986,8410,WC8410,testate amoebae surface sample,266696,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.69,,40.0,cm
26088,16591,Wally Creek,18987,8C11,WC8C11,testate amoebae surface sample,266697,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.35,,30.0,cm
26089,16591,Wally Creek,18988,8C13,WC8C13,testate amoebae surface sample,266698,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.61,,18.0,cm
26091,16591,Wally Creek,18990,8C18,WC8C18,testate amoebae surface sample,266700,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.58,,23.0,cm
26090,16591,Wally Creek,18989,8C14,WC8C14,testate amoebae surface sample,266699,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.82,,16.0,cm
26092,16591,Wally Creek,18991,8C24,WC8C24,testate amoebae surface sample,266701,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.57,,41.0,cm
26095,16591,Wally Creek,18994,1112,WC1112,testate amoebae surface sample,266704,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.36,,41.0,cm
26097,16591,Wally Creek,18996,1114,WC1114,testate amoebae surface sample,266706,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.73,,24.0,cm
26093,16591,Wally Creek,18992,8C25,WC8C25,testate amoebae surface sample,266702,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.68,,38.0,cm
26094,16591,Wally Creek,18993,8C26,WC8C26,testate amoebae surface sample,266703,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.77,,30.0,cm
26096,16591,Wally Creek,18995,1113,WC1113,testate amoebae surface sample,266705,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.78,,28.0,cm
26099,16591,Wally Creek,18998,1119,WC1119,testate amoebae surface sample,266708,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.36,,31.0,cm
26100,16591,Wally Creek,18999,1121,WC1121,testate amoebae surface sample,266709,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,3.88,,28.0,cm
26098,16591,Wally Creek,18997,1116,WC1116,testate amoebae surface sample,266707,,,302,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-80.5485,49.06374],[-80.52764,49.06374],[-80.52764,49.09422],[-80.5485,49.09422],[-80.5485,49.06374]]]}",,4.47,,41.0,cm
