datasetid,datasettype,datasetname,siteid,sitename,collectionunitid,collectionunit,handle,unittype,geography,altitude,doi
25948,testate amoebae surface sample,,2536,Tannersville Bog,18859,TA5,TANNER5,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/r1x3-jc25
25949,testate amoebae surface sample,,2536,Tannersville Bog,18860,TA6,TANNER6,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/hpt8-yy46
25950,testate amoebae surface sample,,2536,Tannersville Bog,18861,TA7,TANNER7,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/zeex-3p04
25951,testate amoebae surface sample,,2536,Tannersville Bog,18862,TA8,TANNER8,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/xd87-df80
25952,testate amoebae surface sample,,2536,Tannersville Bog,18863,TA9,TANNER9,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/h4j3-gx58
25953,testate amoebae surface sample,,2536,Tannersville Bog,18864,TA10,TANNER10,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/q77g-nv67
25954,testate amoebae surface sample,,2536,Tannersville Bog,18865,TA11,TANNER11,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/8xzb-f307
25955,testate amoebae surface sample,,2536,Tannersville Bog,18866,TA12,TANNER12,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/qskg-h274
25956,testate amoebae surface sample,,2536,Tannersville Bog,18867,TA13,TANNER13,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/kk9s-ta85
25957,testate amoebae surface sample,,2536,Tannersville Bog,18868,TA15,TANNER15,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",279,10.21233/x0jg-j319
